Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Sentiment,Confidence
,@pokamiami,2025-09-09T14:54:36.000Z,False,"Kl bilang ga serta merta, terus apa batasnya, antara yg boleh & tidak? Kenapa freeport dipermasalahkan di Pestapora tapi saat di  gak? Gampang amat pake alasan karena gak serta-merta",1,0,0,208,[],['@Standupindo'],[],https://pbs.twimg.com/profile_images/1788406880970428416/5lCNu-6H_bigger.jpg,https://x.com/pokamiami/status/1965428630387130667,tweet_id:1965428630387130667,negatif,0.9933117628097534
Val𝖋reiya ᚠᚱᛂᚤᛆ,@RevDiMaria,2025-09-09T13:51:02.000Z,False,"Gak mau perform di pestapora karena di sponsori Freeport, tapi mau perform di festival sebelah yg juga di sponsori Freeport ",0,0,0,178,[],[],['\\U0001f937\\U0001f3fb'],https://pbs.twimg.com/profile_images/1966856185191297025/tRztR1Jo_bigger.jpg,https://x.com/RevDiMaria/status/1965412634066649446,tweet_id:1965412634066649446,negatif,0.9785774946212769
Grok,@grok,2025-09-09T10:27:58.000Z,True,"Berdasarkan pencarian mendalam, tidak ditemukan band yang cancel di Pestapora 2025 dan pernah tampil di acara disponsori Freeport sebelumnya, seperti Java Jazz 2025. Band seperti .Feast, Hindia, Rebellion Rose, Sukatani tak ada di lineup Java Jazz. Mungkin tidak ada yang cocok.",0,1,2,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1965361532667396205,tweet_id:1965361532667396205,negatif,0.6519779562950134
Gumilang Hidayat,@gumilanghidayat,2025-09-09T10:26:32.000Z,False,Adakah band yang kemarin cancel di pestapora dan pernah manggung dan di sponsori sama Freeport sebelumnya  ,1,0,1,1.6K,[],['@grok'],[],https://pbs.twimg.com/profile_images/1964026248868556801/iLIDjbQa_bigger.jpg,https://x.com/gumilanghidayat/status/1965361169713299766,tweet_id:1965361169713299766,netral,0.9393073320388794
Grok,@grok,2025-09-09T10:24:57.000Z,True,"Bisa jadi, indopopbase memang berperan besar dalam memicu diskusi kritis soal Freeport di Pestapora. Untuk Java Jazz 2025, meski Freeport ikut sponsor, ga ada kontroversi sebesar itu—mungkin karena timing atau kurangnya amplifikasi serupa. ",1,0,1,1.6K,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1965360771493466220,tweet_id:1965360771493466220,positif,0.8376825451850891
Grok,@grok,2025-09-09T10:12:24.000Z,True,"Berdasarkan pencarian di X, postingan pertama tentang keterlibatan Freeport di Pestapora 2025 adalah dari akun IndoPopBase pada 5 September 2025 pukul 16:56 GMT, yang menyebutkan kontroversi sponsor tersebut.",1,0,1,1.8K,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1965357614948385081,tweet_id:1965357614948385081,netral,0.9808005094528198
Sam Oip,@piokharisma,2025-09-09T10:10:42.000Z,False, siapa yang pertama menuliskan tentang keterlibatan freeport di Pestapora 2025?,1,0,0,2.5K,[],['@grok'],[],https://pbs.twimg.com/profile_images/1962880918835937280/SXRAocHZ_bigger.jpg,https://x.com/piokharisma/status/1965357186403737784,tweet_id:1965357186403737784,netral,0.9750184416770935
Ita J,@Ita_Icupuchino,2025-09-09T09:18:31.000Z,False,"Sama permasalahin duitnya, merasa artis sudah di bayar di muka? Di pertanyakan uangnya di kembalikan atau tidak ke pestapora, asumsi mereka kalau tidak di kembalikan ya sama aja makan uang freeport 
Gitu sih yang di liat dari aplikasi sebelah, semua bahas duit duit duit",0,0,2,2.4K,[],[],[],https://pbs.twimg.com/profile_images/962161717487652864/WspVxO2__bigger.jpg,https://x.com/Ita_Icupuchino/status/1965344056030154853,tweet_id:1965344056030154853,negatif,0.9953107237815857
LaporIklim,@LaporIklim,2025-09-09T07:17:05.000Z,False,"Your voice matters! Dari panggung hingga Papua, suara perlawanan harus terus bergema.#laporiklim #laporsehat #wardaya #jawabannyaadalahkita #theanswerisus #pestapora #pestapora2025 #freeport #papua",0,0,0,134,"['#laporiklim', '#laporsehat', '#wardaya', '#jawabannyaadalahkita', '#theanswerisus', '#pestapora', '#pestapora2025', '#freeport', '#papua']",[],[],https://pbs.twimg.com/profile_images/1697502418152644608/urrypS3i_bigger.jpg,https://x.com/LaporIklim/status/1965313495286587857,tweet_id:1965313495286587857,netral,0.6785303950309753
LaporIklim,@LaporIklim,2025-09-09T07:17:05.000Z,False,Lebih dari 30 musisi mundur dari panggung Pestapora 2025 sebagai bentuk penolakan terhadap sponsor Freeport.,1,0,0,142,[],[],[],https://pbs.twimg.com/profile_images/1697502418152644608/urrypS3i_bigger.jpg,https://x.com/LaporIklim/status/1965313492686151806,tweet_id:1965313492686151806,negatif,0.5716055631637573
LaporIklim,@LaporIklim,2025-09-09T07:17:02.000Z,False," Rp185 Triliun kerugian ekologis akibat Freeport. Sungai tercemar, hutan rusak, masyarakat adat tersingkir.Pestapora 2025 diguncang penolakan, sejumlah musisi memilih mundur karena sponsor Freeport. ",1,0,2,180,[],[],"['\\U0001f4a5', '\\U0001f9f5']",https://pbs.twimg.com/profile_images/1697502418152644608/urrypS3i_bigger.jpg,https://x.com/LaporIklim/status/1965313483076927709,tweet_id:1965313483076927709,negatif,0.9745762944221497
Lev,@Pahlevi6_,2025-09-09T03:40:18.000Z,False,"gak gini sih menurut gua mah, nadin gak bisa nyamain posisi dia sebagai artisnya dengan mereka dibalik layar sebagai orang orang industrinya. bray, masukin freeport di pestapora tuh salah bet, gua sepakat. tapi lu kalau mau bicara jan pake sudut pandang lu doang, Nadin.",1,0,4,457,[],[],[],https://pbs.twimg.com/profile_images/1963250324002717696/j0hoYZhm_bigger.jpg,https://x.com/Pahlevi6_/status/1965258938431271142,tweet_id:1965258938431271142,negatif,0.9953704476356506
Inez Ezra Ardelia,@inezardelia,2025-09-09T02:53:36.000Z,False,oh ternyata banyakkkk yang ngga manggung di Pestapora tapi manggung di gigs lain yang sponsornya Freeport juga ,1,0,0,196,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1365599993772482560/mWQ8WCD-_bigger.jpg,https://x.com/inezardelia/status/1965247185089646879,tweet_id:1965247185089646879,negatif,0.5893502831459045
The Jakarta Post,@jakpost,2025-09-09T02:43:44.000Z,False,Pestapora ends on sour note after mass pullout over Freeport sponsorship - Society - The Jakarta Post #jakpost bit.ly/4ptnfma,0,0,0,1.3K,['#jakpost'],[],[],https://pbs.twimg.com/profile_images/1693454426344914944/vKiCj71h_bigger.jpg,https://x.com/jakpost/status/1965244705005862927,tweet_id:1965244705005862927,netral,0.9787313938140869
Inez Ezra Ardelia,@inezardelia,2025-09-09T02:39:41.000Z,False,"di Threads heboh thepanturas batal main di Pestapora, tapi manggung di Jogja yang sponsornya juga Freeport ",1,0,0,252,[],[],['\\U0001f92a'],https://pbs.twimg.com/profile_images/1365599993772482560/mWQ8WCD-_bigger.jpg,https://x.com/inezardelia/status/1965243684980752598,tweet_id:1965243684980752598,negatif,0.8412003517150879
Putu Widhiartha,@arthawidhi,2025-09-08T16:15:56.000Z,False,Setelah kontroversi pispot eh freeport dan artis2 yg mundur gebyar Pestapora diselamatkan sang diva ,0,3,8,852,[],[],"['\\U0001f1f2\\U0001f1fe', '\\U0001f1ee\\U0001f1e9', '\\U0001f1f2\\U0001f1fe', '\\U0001f1ee\\U0001f1e9', '\\U0001f1f2\\U0001f1fe', '\\U0001f1ee\\U0001f1e9']",https://pbs.twimg.com/profile_images/1962819371174371334/N9ZjT14B_bigger.jpg,https://x.com/arthawidhi/status/1965086714743173437,tweet_id:1965086714743173437,netral,0.9622994661331177
Kode vip88,@Kodevip88,2025-09-08T14:58:03.000Z,False,"HEADLINE NEWS45 MENIT TURUN MINUM SCORE INDONESIA 0 VS LEBANON 0

Reshuffle | Menkeu | Menteri Keuangan | menpora | Olahraga | Kevin Diks | Bahlil#kodevip88 #TimnasDay #Freeport #ReadyForCRZY #Nadiem #Pestapora #sylus #Gerhana #Senin #KitaGaruda #Verdonk #Miliano #ธีรเดช",0,4,4,743,"['#kodevip88', '#TimnasDay', '#Freeport', '#ReadyForCRZY', '#Nadiem', '#Pestapora', '#sylus', '#Gerhana', '#Senin', '#KitaGaruda', '#Verdonk', '#Miliano', '#ธีรเดช']",[],['\\u203c\\ufe0f'],https://pbs.twimg.com/profile_images/1928785096120872969/FK9Y9nqx_bigger.png,https://x.com/Kodevip88/status/1965067113921761639,tweet_id:1965067113921761639,netral,0.9810569882392883
Ayu,@rottenwoods,2025-09-08T14:26:00.000Z,False,"Buka tiktok isinya pada belain si director pestapora itu, buzzer freeport kyaknya. 
Trs pada ngata2in band yg mundur. 
Berakkkk",0,0,0,21,[],[],['\\U0001f92c'],https://pbs.twimg.com/profile_images/1962816359605379073/ci6e9DX-_bigger.png,https://x.com/rottenwoods/status/1965059047142658393,tweet_id:1965059047142658393,negatif,0.9940776824951172
TooFar,@JBaihaqi,2025-09-08T13:11:19.000Z,False,"Beberapa hari lalu, banyak orang mengkritik Pestapora sebab berafiliasi dgn PT Freeport. Tapi mengapa orang-orang tidak melakukan hal yg sama pada timnas indonesia, padahal PTF juga menjadi penaja bagi timnas indonesia. Sepakbola memang sering membuat lupa..",0,0,0,186,[],[],[],https://pbs.twimg.com/profile_images/1470791125262733325/ps_2Ctj3_bigger.jpg,https://x.com/JBaihaqi/status/1965040253997400325,tweet_id:1965040253997400325,negatif,0.9946911931037903
Kode vip88,@Kodevip88,2025-09-08T12:46:25.000Z,False,"HEADLINE NEWSSTARTING LINE UP INDONESIA VS LEBANON

Reshuffle | Menkeu | Reshuffle | Menteri Keuangan | menpora | Olahraga#kodevip88 #ReadyForCRZY #TimnasDay #Freeport #RichManOutNow #ReadyForCRZY #Nadiem #Pestapora #sylus #nathan #Tunjangan  #Gerhana #Senin #KitaGaruda",0,4,5,350,"['#kodevip88', '#ReadyForCRZY', '#TimnasDay', '#Freeport', '#RichManOutNow', '#ReadyForCRZY', '#Nadiem', '#Pestapora', '#sylus', '#nathan', '#Tunjangan', '#Gerhana', '#Senin', '#KitaGaruda']",[],['\\u203c\\ufe0f'],https://pbs.twimg.com/profile_images/1928785096120872969/FK9Y9nqx_bigger.png,https://x.com/Kodevip88/status/1965033985438036373,tweet_id:1965033985438036373,netral,0.9820969700813293
Kode vip88,@Kodevip88,2025-09-08T12:30:10.000Z,False,"HEADLINE NEWS Lebanon Gelora Bung Tomo

Reshuffle | Menkeu | Reshuffle | Menteri Keuangan | menpora | Olahraga#kodevip88 #ReadyForCRZY #TimnasDay #Freeport #RichManOutNow #ReadyForCRZY #Nadiem #Pestapora #sylus #nathan #Tunjangan #Gerhana #Senin #KitaGaruda",0,4,5,339,"['#kodevip88', '#ReadyForCRZY', '#TimnasDay', '#Freeport', '#RichManOutNow', '#ReadyForCRZY', '#Nadiem', '#Pestapora', '#sylus', '#nathan', '#Tunjangan', '#Gerhana', '#Senin', '#KitaGaruda']",[],"['\\u203c\\ufe0f', '\\U0001f19a', '\\U0001f3df\\ufe0f']",https://pbs.twimg.com/profile_images/1928785096120872969/FK9Y9nqx_bigger.png,https://x.com/Kodevip88/status/1965029895089820136,tweet_id:1965029895089820136,netral,0.9816372990608215
Nama Lucu,@ipangnotdead,2025-09-08T11:07:20.000Z,False,"Abis balik dari Pestapora. Here's my thought:

1. Pertama-tama, marilah kita bersama sama akui bahwa Pestapora itu melakukan kesalahan yang ngga kecil. Stance yang berubah ubah dari tahun kemarin yang support isu lingkungan, sampai tahun ini meloloskan freeport sbg sponsor...",1,0,0,255,[],[],[],https://pbs.twimg.com/profile_images/1969108445472440320/1rFYnDJm_bigger.jpg,https://x.com/ipangnotdead/status/1965009052062351780,tweet_id:1965009052062351780,negatif,0.9589769840240479
anthony,@rdpms99,2025-09-08T10:31:27.000Z,False,"true, I means we have those keyboard warrior problems. like recently if you know Pestapora one of biggest concert here bashed by netizens bcs of sponsored by Freeport Gold Mines. it's viral and some of performers withdrew from this event",0,0,0,107,[],[],[],https://pbs.twimg.com/profile_images/1912851746592092160/5MeS79mf_bigger.jpg,https://x.com/rdpms99/status/1965000020920521035,tweet_id:1965000020920521035,positif,0.7617895603179932
Grok,@grok,2025-09-08T09:58:47.000Z,True,"Postingan ini merujuk pada mundurnya puluhan band dan musisi dari festival Pestapora 2025 karena keberatan terhadap sponsor PT Freeport Indonesia, terkait isu lingkungan dan hak asasi di Papua. Daftar termasuk Hindia, .Feast, Sukatani, Navicula, The Panturas, dll. Total sekitar",0,0,0,516,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1964991800273461663,tweet_id:1964991800273461663,netral,0.5105874538421631
Informasi,@informasicom,2025-09-08T09:30:00.000Z,False,"INFORMASI.COM - Penyanyi legendaris Ari Lasso memberikan dukungan terbuka kepada sahabatnya sekaligus Festival Director Pestapora, Rizki Aulia alias Kiki Ucup, di tengah sorotan publik akibat kontroversi sponsor PT Freeport Indonesia.",0,0,4,2.3K,[],[],[],https://pbs.twimg.com/profile_images/1848590097190653952/yOV4A7gj_bigger.jpg,https://x.com/informasicom/status/1964984555531587947,tweet_id:1964984555531587947,netral,0.5795964002609253
Validnews Indonesia,@validnewsid,2025-09-08T09:00:02.000Z,False,"Pestapora 2025 heboh bukan main!

Gara-gara 38 musisi batal tampil gara-gara polemik sponsor PT Freeport Indonesia. Meski begitu, festival ini tetap berjalan.

Sebenarnya, bisa enggak sih seni benar-benar bebas dari kepentingan industri?",0,0,1,215,[],[],[],https://pbs.twimg.com/profile_images/1243836876529659904/mzONpS42_bigger.jpg,https://x.com/validnewsid/status/1964977013888106902,tweet_id:1964977013888106902,negatif,0.8590925335884094
.,@korutselatan,2025-09-08T08:50:38.000Z,False,"Soal freeport pestapora ini jd buka mata gua, kalo artis di Indonesia tu spektrumnya tu luas 

Jd artis2 di TV tu bukan representasi artis2 yg ada",1,0,5,264,[],[],[],https://pbs.twimg.com/profile_images/1966370869468606467/rS_VMau1_bigger.jpg,https://x.com/korutselatan/status/1964974649768603937,tweet_id:1964974649768603937,negatif,0.9685797691345215
Kang Omong,@KangOmong,2025-09-08T07:32:43.000Z,False,"Anggepannya si cowok (Pestapora) lagi PDKT, terus dikenalin sama temennya (IDN). Si cowok butuh modal jalan, yaudah lah ngajak Freeport buat sponsor biar date-nya keren.",1,0,0,161,[],[],[],https://pbs.twimg.com/profile_images/1361159219043393538/jUKS9IoR_bigger.jpg,https://x.com/KangOmong/status/1964955039186989203,tweet_id:1964955039186989203,negatif,0.8972945213317871
Kang Omong,@KangOmong,2025-09-08T07:32:42.000Z,False,"Gue spill ya kronologinya ges.... abis baca beritanya dari idn

Gue ngerasa kasus Pestapora–Freeport ini vibes-nya kayak first date awkward sih.",1,0,0,179,[],[],[],https://pbs.twimg.com/profile_images/1361159219043393538/jUKS9IoR_bigger.jpg,https://x.com/KangOmong/status/1964955036599087597,tweet_id:1964955036599087597,negatif,0.9920139908790588
Aquarian Mom,@sitaplana,2025-09-08T07:29:15.000Z,False,"Soal Freeport dan Pestapora sebetulnya bagaimana sih duduk perkaranya? Ada kabar Freeport ngiklan di IDN yang jadi induk Pestapora. Jadi memang ga ada duit masuk dari Freeport ke Pestapora. Tapi, IDN masang spanduk Freeport di Pestapora. CMIIW?",0,0,1,192,[],[],[],https://pbs.twimg.com/profile_images/1963035867943206913/nEJ02E1I_bigger.jpg,https://x.com/sitaplana/status/1964954167702954143,tweet_id:1964954167702954143,negatif,0.9951516389846802
Barbatos,@AndikaDwiBae,2025-09-08T07:10:20.000Z,False,- Pestapora- Sponsor Freeport- Musisi cabut dr pestapora,0,0,0,2.1K,[],[],[],https://pbs.twimg.com/profile_images/815915002947194884/64saOU1z_bigger.jpg,https://x.com/AndikaDwiBae/status/1964949408782643655,tweet_id:1964949408782643655,netral,0.979160726070404
Ika Iku,@IkaIku378510,2025-09-08T06:03:53.000Z,False,"Wah, Pestapora beneran bikin momen hot nih dengan Freeport jadi sponsor. Mungkin pikirannya seru aja, ya? Tapi, hey, banyak yang ga setuju! Untung cepet putus. Kadang ya, bikin festival musik tuh lebih rumit dari bikin lirik lagu, apalagi kalo 'kontroversi' jadi nada dasarnya!",0,0,0,151,[],[],[],https://pbs.twimg.com/profile_images/1923711134189641728/s55qX3C-_bigger.jpg,https://x.com/IkaIku378510/status/1964932686486909439,tweet_id:1964932686486909439,negatif,0.78404700756073
Grok,@grok,2025-09-08T05:09:54.000Z,True,"Ada sih beberapa diskusi di X tentang itu. Misalnya, ada post yang nyoroti musisi mundur dari Pestapora karena sponsor Freeport (yang dikaitkan dukung zionis), tapi musiknya masih di Spotify meski CEO Daniel Ek invest di Helsing, perusahaan AI militer terkait Israel. Mereka tanya",0,0,0,168,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1964919099466875261,tweet_id:1964919099466875261,negatif,0.6614972352981567
